Municipio ;Departamento;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Luruaco;Atlantico;128.1053371;131.6046591;142.7502312;142.8533857;153.521599;159.2785532;170.4996461;178.3911181;189.2241809;189.5483442;229.0030184;291.6610679
Malambo;Atlantico;830.2548442;919.4569306;1066.062149;1212.174558;1565.494434;1582.765457;1727.855113;1898.996481;1893.314719;1814.649132;2343.4916;2885.103079
Manati;Atlantico;76.38348611;86.96354079;102.178749;155.3163595;112.2614771;112.3707392;134.8931888;143.0497272;165.4641539;152.6008787;175.8639834;221.9861223
Palmar De Varela;Atlantico;103.5199841;120.2865475;127.2294759;143.6788422;159.5668505;144.8386987;163.4632188;172.5343825;181.5622269;179.7982376;502.7395028;635.3922098
Piojo;Atlantico;24.88972521;29.68159025;31.44748785;32.27919772;33.05662093;35.83127154;39.12514894;40.45642957;45.47167295;46.79405797;75.21599884;77.35027523
Polonuevo;Atlantico;100.7370801;100.5801278;108.6031083;115.4940839;121.0720955;134.878289;139.9896588;153.8529392;156.8683037;165.4891118;192.7961101;245.4327231
Ponedera;Atlantico;94.22070368;112.3811763;125.9250043;128.9723229;146.0481719;153.5060944;163.7965206;166.0763783;180.1670605;181.5173545;216.8217599;274.1630864
Puerto Colombia;Atlantico;302.747512;392.789206;275.589665;454.8355039;412.8941152;615.264057;507.5312212;534.794641;580.105814;518.1110282;674.2598773;820.2683089
Repelon;Atlantico;106.8274866;126.1738201;141.6527523;151.3916952;160.7608266;163.2757384;174.393407;190.0032551;188.8330776;195.8846217;227.9803191;297.0517517
Sabanagrande;Atlantico;207.6814762;188.7940147;223.7007436;237.289334;270.973139;251.822201;248.4943114;275.5790043;273.2684633;272.5760353;315.1917195;407.0403666
Sabanalarga;Atlantico;382.5101999;479.4043217;451.0327584;498.2113992;674.7448592;643.8862334;690.392346;753.7562622;808.0003035;770.1297775;925.4875652;1155.009251
Santa Lucia;Atlantico;48.72628398;55.94291556;61.18599808;68.63321366;73.83377244;71.61540453;77.87453503;83.96267884;91.72261832;96.28930959;109.0832953;134.9467657
Santo Tomas;Atlantico;144.1901113;156.9203969;155.3079094;185.7554026;178.3688959;211.7454869;204.3357601;232.9740996;242.9509534;247.1094905;286.3966141;368.7768743
Soledad;Atlantico;3235.177778;3573.459224;4052.046623;4673.445013;5006.455247;5695.012068;5928.027264;6035.64906;6587.740059;6468.805284;7376.853349;8983.028678
Suan;Atlantico;49.71721716;49.80013213;53.46023667;57.2901873;57.99036928;60.82883048;63.66709913;70.23336611;79.33004934;78.16207478;87.40498797;108.8261811
Tubara;Atlantico;76.96888181;79.38575002;88.036349;96.90584881;99.12775946;106.4637366;119.8864641;142.1659578;145.1718226;133.2372269;154.3969007;192.4891651
Usiacuri;Atlantico;36.41219308;42.17196223;49.08772009;55.34375898;60.4730046;62.64451929;65.9393369;69.19452063;84.20351413;82.68004799;94.51707135;119.1446229
Santafe De Bogota D.c.;Cundinamarca;135864.3393;146784.3825;158889.6561;171043.938;184881.551;199661.4502;212289.142;227062.6907;243835.8876;233872.3536;268745.9131;316317.4931
Cartagena (dist. Esp.);Bolivar;11650.60684;12692.11597;14477.45109;15596.09598;16557.42239;18284.79174;19765.71161;20959.81003;22507.5335;20477.59183;24861.42682;29755.25461
Achi;Bolivar;120.7470245;152.0637578;164.069819;166.1220119;173.2229848;196.3776863;227.9246337;221.6444511;231.5639137;231.3598;257.8029604;363.5512277
Altos Del Rosario;Bolivar;39.8140926;47.62903459;52.03888605;54.99771233;56.66115908;66.63440296;67.16351735;72.54914706;73.2252523;76.32796419;92.77601232;113.7833519
Arenal;Bolivar;35.16629366;40.49442552;49.52750758;54.06023213;49.72102112;67.85487491;110.2844672;95.44292128;87.79567015;75.18555323;88.76671857;105.5454444
Arjona;Bolivar;336.8353792;347.6802277;392.3256079;461.905551;479.0984827;597.0194076;588.9311564;642.1371093;679.495326;563.3531528;651.286504;822.9736885
Arroyohondo;Bolivar;38.67631128;43.74521024;47.12610654;49.63635137;50.94215068;54.51831851;59.89085817;60.79220776;65.47467674;67.43822811;76.24489915;94.25758894
Barranco De Loba;Bolivar;69.6377394;84.21831148;104.1946615;88.38778044;96.5740755;97.89318682;120.0644921;103.1201847;110.1113251;103.1919555;134.0054059;169.2967721
Calamar;Bolivar;100.9500469;114.4147521;133.1358843;153.0449721;155.8008215;158.8157107;169.0163048;173.4160446;200.9312337;183.1570881;201.0673003;273.4733217
Cantagallo;Bolivar;775.7286654;764.8345013;754.3612223;638.7967872;499.3191493;407.2870813;452.1231024;569.9292617;727.3022018;588.595256;860.5451193;1129.171364
Cicuco;Bolivar;100.5265897;106.2643431;112.5255283;115.1809359;104.8100051;102.6844917;112.3650144;121.4041949;129.796308;116.2941287;136.5476026;168.1951334
Cordoba;Bolivar;71.80905741;80.950021;86.60766139;95.23327713;98.06502263;103.4740032;115.8548083;119.593597;129.7739344;113.9064136;212.7241287;261.1727974
Clemencia;Bolivar;69.70651856;69.09101127;78.89470103;80.80757677;133.3936604;123.6314804;122.7115517;116.4653442;152.8555311;135.3720738;195.8955916;227.8459084
